invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I257254,C150036,Female,18,Shoes,4,2400.68,Debit Card,01-01-2023,Metrocity
I123935,C793601,Male,64,Clothing,1,300.08,Credit Card,01-01-2023,Kanyon
I180257,C123799,Male,26,Souvenir,5,58.65,Cash,01-01-2023,Mall of Istanbul
I246183,C325085,Female,52,Clothing,1,300.08,Cash,01-01-2023,Mall of Istanbul
I322679,C179986,Female,39,Toys,5,179.2,Cash,01-01-2023,Zorlu Center
I281185,C290119,Female,37,Shoes,5,3000.85,Cash,01-01-2023,Cevahir AVM
I223903,C204007,Female,18,Clothing,5,1500.4,Cash,01-01-2023,Kanyon
I255379,C245461,Male,27,Clothing,2,600.16,Credit Card,01-01-2023,Istinye Park
I107107,C245173,Male,52,Clothing,5,1500.4,Cash,01-01-2023,Mall of Istanbul
I219899,C267568,Female,39,Souvenir,4,46.92,Credit Card,01-01-2023,Istinye Park
I145080,C168568,Female,42,Souvenir,1,11.73,Cash,01-01-2023,Cevahir AVM
I175447,C587549,Male,21,Toys,5,179.2,Cash,01-01-2023,Metrocity
I287737,C220189,Male,36,Cosmetics,2,81.32,Credit Card,01-01-2023,Kanyon
I944658,C193436,Male,38,Technology,4,4200,Credit Card,01-01-2023,Mall of Istanbul
I187488,C559418,Female,31,Clothing,1,300.08,Debit Card,01-01-2023,Kanyon
I155311,C400051,Female,37,Clothing,5,1500.4,Cash,01-01-2023,Kanyon
I313475,C628409,Female,44,Food & Beverage,1,5.23,Credit Card,01-01-2023,Istinye Park
I285754,C265860,Male,57,Food & Beverage,1,5.23,Debit Card,01-01-2023,Zorlu Center
I507073,C208792,Female,25,Food & Beverage,4,20.92,Cash,01-01-2023,Mall of Istanbul
I119361,C314414,Female,21,Clothing,5,1500.4,Cash,01-01-2023,Mall of Istanbul
I328972,C291271,Male,42,Cosmetics,2,81.32,Credit Card,01-01-2023,Kanyon
I677958,C465998,Female,53,Clothing,5,1500.4,Debit Card,01-01-2023,Kanyon
I964106,C323047,Female,62,Clothing,1,300.08,Debit Card,01-01-2023,Forum Istanbul
I149086,C322416,Male,25,Clothing,4,1200.32,Cash,01-01-2023,Kanyon
I334871,C209525,Female,22,Shoes,3,1800.51,Debit Card,01-01-2023,Istinye Park
I218024,C498183,Female,64,Clothing,5,1500.4,Cash,01-01-2023,Metropol AVM
I644018,C291769,Female,55,Food & Beverage,3,15.69,Credit Card,01-01-2023,Metrocity
I131522,C192810,Female,61,Toys,4,143.36,Cash,01-01-2023,Kanyon
I248021,C776173,Male,61,Food & Beverage,4,20.92,Cash,01-01-2023,Metrocity
I157327,C170281,Female,57,Clothing,2,600.16,Cash,01-01-2023,Metrocity
I102468,C450900,Female,49,Clothing,3,900.24,Credit Card,01-01-2023,Kanyon
I256659,C227147,Male,36,Clothing,1,300.08,Cash,01-01-2023,Viaport Outlet
I147706,C218426,Male,29,Clothing,4,1200.32,Credit Card,01-01-2023,Kanyon
I654704,C411326,Female,58,Clothing,1,300.08,Debit Card,01-01-2023,Mall of Istanbul
I335099,C179174,Female,46,Clothing,5,1500.4,Cash,01-01-2023,Emaar Square Mall
I453931,C206176,Female,61,Clothing,4,1200.32,Credit Card,01-01-2023,Kanyon
I824836,C231378,Female,35,Shoes,5,3000.85,Cash,01-01-2023,Metropol AVM
I191289,C170645,Female,67,Food & Beverage,3,15.69,Credit Card,01-01-2023,Kanyon
I312511,C336148,Female,52,Shoes,5,3000.85,Debit Card,01-01-2023,Kanyon
I248551,C333426,Male,69,Cosmetics,3,121.98,Cash,01-01-2023,Zorlu Center
I218432,C309802,Female,68,Toys,3,107.52,Debit Card,01-01-2023,Emaar Square Mall
I322966,C886915,Female,56,Clothing,1,300.08,Cash,01-01-2023,Emaar Square Mall
I311780,C339720,Female,46,Shoes,1,600.17,Credit Card,01-01-2023,Mall of Istanbul
I388317,C133768,Female,18,Clothing,4,1200.32,Cash,01-01-2023,Istinye Park
I118292,C677516,Female,22,Clothing,2,600.16,Cash,01-01-2023,Metropol AVM
I131767,C110389,Female,27,Shoes,3,1800.51,Debit Card,01-01-2023,Metrocity
I333806,C279603,Female,47,Clothing,3,900.24,Cash,01-01-2023,Kanyon
I154908,C133519,Female,24,Clothing,2,600.16,Credit Card,01-01-2023,Viaport Outlet
I138274,C245678,Female,49,Cosmetics,1,40.66,Credit Card,01-01-2023,Istinye Park
I234977,C164835,Female,64,Toys,3,107.52,Credit Card,01-01-2023,Metrocity
I926093,C128782,Male,21,Clothing,2,600.16,Credit Card,01-01-2023,Metropol AVM
I124780,C932889,Female,52,Cosmetics,1,40.66,Cash,01-01-2023,Viaport Outlet
I203087,C287943,Female,59,Books,1,15.15,Credit Card,01-01-2023,Kanyon
I115115,C227967,Male,20,Food & Beverage,1,5.23,Debit Card,01-01-2023,Mall of Istanbul
I143386,C124551,Male,34,Shoes,4,2400.68,Cash,01-01-2023,Metrocity
I223514,C714580,Male,41,Clothing,2,600.16,Debit Card,01-01-2023,Cevahir AVM
I297034,C103632,Female,50,Souvenir,5,58.65,Credit Card,01-01-2023,Mall of Istanbul
I124201,C791770,Male,69,Toys,3,107.52,Cash,01-01-2023,Metrocity
I566811,C232637,Female,69,Clothing,2,600.16,Cash,01-01-2023,Mall of Istanbul
I386330,C131226,Female,62,Cosmetics,2,81.32,Credit Card,01-01-2023,Viaport Outlet
I146349,C247966,Female,48,Clothing,3,900.24,Debit Card,01-01-2023,Istinye Park
I176689,C696263,Male,22,Shoes,4,2400.68,Cash,01-01-2023,Metropol AVM
I914528,C180890,Female,24,Clothing,2,600.16,Cash,01-01-2023,Cevahir AVM
I165786,C242081,Female,19,Toys,5,179.2,Cash,01-01-2023,Kanyon
I511665,C237478,Female,60,Technology,2,2100,Cash,01-01-2023,Viaport Outlet
I512273,C114935,Female,22,Clothing,4,1200.32,Cash,01-01-2023,Viaport Outlet
I131149,C445850,Female,57,Cosmetics,5,203.3,Cash,01-01-2023,Zorlu Center
I712981,C326381,Female,63,Clothing,3,900.24,Credit Card,01-01-2023,Metrocity
I113127,C194339,Male,46,Books,4,60.6,Cash,01-01-2023,Kanyon
I168610,C331656,Female,18,Shoes,3,1800.51,Credit Card,01-01-2023,Kanyon
I247788,C662977,Female,36,Clothing,1,300.08,Credit Card,01-01-2023,Kanyon
I301217,C935195,Male,24,Books,5,75.75,Credit Card,01-01-2023,Cevahir AVM
I657682,C142372,Female,51,Cosmetics,4,162.64,Debit Card,01-01-2023,Emaar Square Mall
I295055,C136720,Male,50,Clothing,3,900.24,Cash,01-01-2023,Mall of Istanbul
I403731,C302252,Male,37,Toys,1,35.84,Cash,01-01-2023,Metropol AVM
I320376,C315902,Female,66,Clothing,1,300.08,Cash,01-01-2023,Mall of Istanbul
I627544,C683011,Male,58,Clothing,5,1500.4,Debit Card,01-01-2023,Emaar Square Mall
I662363,C608367,Male,38,Food & Beverage,2,10.46,Debit Card,01-01-2023,Kanyon
I309392,C323493,Male,49,Clothing,1,300.08,Cash,01-01-2023,Kanyon
I274422,C268370,Male,52,Shoes,5,3000.85,Cash,01-01-2023,Kanyon
I205775,C251012,Male,18,Souvenir,4,46.92,Cash,01-01-2023,Metrocity
I203623,C265344,Male,46,Clothing,4,1200.32,Credit Card,01-01-2023,Metrocity
I403284,C758416,Male,30,Food & Beverage,1,5.23,Credit Card,01-01-2023,Mall of Istanbul
I110150,C172804,Male,49,Food & Beverage,4,20.92,Cash,01-01-2023,Mall of Istanbul
I317887,C219187,Female,45,Toys,4,143.36,Cash,01-01-2023,Kanyon
I285628,C558133,Female,51,Cosmetics,5,203.3,Credit Card,01-01-2023,Emaar Square Mall
I761094,C136061,Female,66,Toys,1,35.84,Cash,01-01-2023,Metropol AVM
I269703,C186138,Female,54,Books,2,30.3,Cash,01-01-2023,Mall of Istanbul
I336071,C208166,Male,33,Food & Beverage,2,10.46,Cash,01-01-2023,Metrocity
I294673,C449175,Female,39,Shoes,3,1800.51,Credit Card,01-01-2023,Metrocity
I451056,C142982,Female,66,Souvenir,3,35.19,Credit Card,01-01-2023,Kanyon
I237459,C320776,Female,32,Toys,5,179.2,Debit Card,01-01-2023,Kanyon
I250026,C259239,Male,20,Clothing,3,900.24,Credit Card,01-01-2023,Mall of Istanbul
I147996,C184821,Female,32,Food & Beverage,3,15.69,Credit Card,01-01-2023,Metrocity
I197995,C769460,Male,24,Clothing,1,300.08,Cash,01-01-2023,Kanyon
I604531,C955788,Female,35,Clothing,3,900.24,Credit Card,01-01-2023,Kanyon
I200166,C174960,Male,37,Food & Beverage,4,20.92,Cash,01-01-2023,Kanyon
I274352,C377503,Male,31,Clothing,5,1500.4,Credit Card,01-01-2023,Mall of Istanbul
I221893,C328633,Male,53,Cosmetics,1,40.66,Cash,01-01-2023,Kanyon
I294083,C185960,Male,23,Cosmetics,5,203.3,Credit Card,01-01-2023,Kanyon
I103721,C326569,Female,27,Food & Beverage,1,5.23,Credit Card,01-01-2023,Metropol AVM
I268641,C337446,Male,45,Technology,3,3150,Cash,01-01-2023,Istinye Park
I597435,C324305,Female,52,Cosmetics,5,203.3,Debit Card,01-01-2023,Mall of Istanbul
I465324,C918798,Female,44,Clothing,1,300.08,Credit Card,01-01-2023,Kanyon
I238110,C144631,Male,68,Toys,2,71.68,Cash,01-01-2023,Forum Istanbul
I326714,C156604,Female,30,Cosmetics,5,203.3,Cash,01-01-2023,Viaport Outlet
I225487,C111113,Female,54,Technology,4,4200,Debit Card,01-01-2023,Metropol AVM
I125095,C237606,Female,27,Clothing,2,600.16,Cash,01-01-2023,Istinye Park
I327430,C319962,Male,52,Shoes,5,3000.85,Cash,01-01-2023,Cevahir AVM
I976953,C287226,Female,27,Souvenir,2,23.46,Debit Card,01-01-2023,Cevahir AVM
I175079,C206637,Male,35,Technology,5,5250,Credit Card,01-01-2023,Metrocity
I161405,C196009,Female,33,Toys,3,107.52,Cash,01-01-2023,Kanyon
I256128,C593836,Female,62,Clothing,5,1500.4,Cash,01-01-2023,Metrocity
I971755,C175430,Female,26,Shoes,5,3000.85,Cash,01-01-2023,Istinye Park
I244233,C125636,Male,41,Clothing,3,900.24,Cash,01-01-2023,Mall of Istanbul
I286075,C230221,Male,68,Technology,1,1050,Debit Card,01-01-2023,Mall of Istanbul
I116259,C494112,Female,34,Clothing,3,900.24,Credit Card,01-01-2023,Istinye Park
I527441,C290614,Male,60,Clothing,2,600.16,Debit Card,01-01-2023,Kanyon
I195542,C160494,Male,26,Cosmetics,2,81.32,Debit Card,01-01-2023,Zorlu Center
I379024,C160167,Female,41,Souvenir,2,23.46,Cash,01-01-2023,Istinye Park
I134399,C953724,Male,65,Clothing,1,300.08,Cash,01-01-2023,Kanyon
I216982,C269751,Female,48,Souvenir,4,46.92,Cash,02-01-2023,Metrocity
I648743,C218295,Female,61,Shoes,5,3000.85,Debit Card,02-01-2023,Mall of Istanbul
I240580,C625736,Female,18,Books,4,60.6,Credit Card,02-01-2023,Kanyon
I916921,C876606,Female,59,Clothing,2,600.16,Cash,02-01-2023,Viaport Outlet
I252715,C623628,Female,35,Clothing,3,900.24,Cash,02-01-2023,Mall of Istanbul
I167926,C228581,Male,54,Clothing,2,600.16,Cash,02-01-2023,Mall of Istanbul
I134195,C312025,Female,50,Technology,2,2100,Cash,02-01-2023,Mall of Istanbul
I192246,C169903,Male,20,Books,3,45.45,Debit Card,02-01-2023,Cevahir AVM
I279737,C308775,Male,18,Toys,5,179.2,Debit Card,02-01-2023,Metropol AVM
I301225,C235090,Female,59,Food & Beverage,2,10.46,Credit Card,02-01-2023,Metropol AVM
I160380,C157782,Female,60,Books,3,45.45,Credit Card,02-01-2023,Mall of Istanbul
I297912,C315653,Female,37,Cosmetics,1,40.66,Cash,02-01-2023,Cevahir AVM
I513890,C142176,Female,67,Clothing,2,600.16,Cash,02-01-2023,Mall of Istanbul
I317137,C104592,Female,33,Shoes,1,600.17,Cash,02-01-2023,Zorlu Center
I146479,C126243,Male,60,Clothing,2,600.16,Credit Card,02-01-2023,Zorlu Center
I267423,C269145,Male,64,Clothing,4,1200.32,Credit Card,02-01-2023,Mall of Istanbul
I590868,C599716,Female,52,Clothing,2,600.16,Cash,02-01-2023,Metropol AVM
I127972,C221038,Male,55,Clothing,2,600.16,Cash,02-01-2023,Cevahir AVM
I125570,C152235,Female,27,Clothing,3,900.24,Credit Card,02-01-2023,Istinye Park
I185458,C320648,Male,18,Clothing,5,1500.4,Credit Card,02-01-2023,Metrocity
I108228,C274978,Female,29,Food & Beverage,3,15.69,Cash,02-01-2023,Cevahir AVM
I266352,C145023,Female,26,Clothing,3,900.24,Cash,02-01-2023,Kanyon
I152881,C836378,Female,21,Shoes,2,1200.34,Cash,02-01-2023,Metropol AVM
I149421,C137592,Female,34,Shoes,1,600.17,Credit Card,02-01-2023,Metropol AVM
I274021,C131861,Male,19,Shoes,1,600.17,Debit Card,02-01-2023,Kanyon
I265440,C104013,Female,68,Souvenir,4,46.92,Credit Card,02-01-2023,Metrocity
I104590,C331002,Male,25,Books,4,60.6,Cash,02-01-2023,Metropol AVM
I263311,C167016,Female,55,Toys,2,71.68,Credit Card,02-01-2023,Kanyon
I122782,C821259,Male,44,Food & Beverage,5,26.15,Cash,02-01-2023,Kanyon
I108398,C307343,Male,55,Cosmetics,4,162.64,Credit Card,02-01-2023,Metrocity
I270691,C421033,Female,20,Clothing,2,600.16,Cash,02-01-2023,Kanyon
I149777,C260547,Female,69,Toys,4,143.36,Cash,02-01-2023,Emaar Square Mall
I299158,C304701,Female,35,Clothing,2,600.16,Credit Card,02-01-2023,Kanyon
I218114,C201441,Female,28,Clothing,4,1200.32,Credit Card,02-01-2023,Mall of Istanbul
I431680,C317814,Male,68,Clothing,4,1200.32,Cash,02-01-2023,Istinye Park
I145304,C520743,Female,44,Clothing,2,600.16,Credit Card,02-01-2023,Mall of Istanbul
I328137,C684304,Female,52,Toys,1,35.84,Cash,02-01-2023,Viaport Outlet
I564755,C604248,Female,54,Food & Beverage,2,10.46,Credit Card,02-01-2023,Mall of Istanbul
I123590,C180629,Female,57,Cosmetics,1,40.66,Debit Card,02-01-2023,Forum Istanbul
I111230,C133449,Female,48,Cosmetics,5,203.3,Cash,02-01-2023,Forum Istanbul
I303566,C255300,Female,21,Toys,1,35.84,Cash,02-01-2023,Kanyon
I100053,C217294,Female,21,Cosmetics,3,121.98,Credit Card,02-01-2023,Metrocity
I106457,C427152,Female,35,Cosmetics,5,203.3,Cash,02-01-2023,Zorlu Center
I188042,C531359,Male,38,Clothing,4,1200.32,Cash,02-01-2023,Metrocity
I320360,C279238,Female,52,Clothing,3,900.24,Debit Card,02-01-2023,Kanyon
I265609,C141222,Female,67,Clothing,2,600.16,Credit Card,02-01-2023,Istinye Park
I729927,C133070,Male,49,Technology,3,3150,Credit Card,02-01-2023,Kanyon
I267932,C141976,Male,19,Cosmetics,4,162.64,Credit Card,02-01-2023,Metropol AVM
I179593,C467949,Male,61,Souvenir,1,11.73,Cash,02-01-2023,Cevahir AVM
I202445,C142037,Male,60,Cosmetics,5,203.3,Debit Card,02-01-2023,Kanyon
I308023,C137785,Male,55,Clothing,3,900.24,Credit Card,02-01-2023,Mall of Istanbul
I264342,C323806,Female,67,Souvenir,5,58.65,Credit Card,02-01-2023,Istinye Park
I594648,C199466,Female,29,Shoes,1,600.17,Cash,02-01-2023,Metrocity
I406171,C414774,Male,50,Clothing,5,1500.4,Credit Card,02-01-2023,Mall of Istanbul
I328777,C964698,Female,65,Clothing,3,900.24,Cash,02-01-2023,Kanyon
I221926,C387272,Male,29,Clothing,5,1500.4,Debit Card,02-01-2023,Metropol AVM
I258748,C297163,Male,59,Toys,2,71.68,Cash,02-01-2023,Istinye Park
I187105,C121902,Female,29,Cosmetics,2,81.32,Cash,02-01-2023,Cevahir AVM
I774562,C276016,Female,46,Cosmetics,4,162.64,Debit Card,02-01-2023,Forum Istanbul
I246790,C246633,Male,56,Toys,5,179.2,Credit Card,02-01-2023,Emaar Square Mall
I102587,C255931,Female,32,Food & Beverage,2,10.46,Cash,02-01-2023,Kanyon
I108082,C336436,Male,56,Food & Beverage,1,5.23,Credit Card,02-01-2023,Forum Istanbul
I150168,C812030,Male,23,Souvenir,1,11.73,Cash,02-01-2023,Mall of Istanbul
I165495,C625623,Male,50,Cosmetics,2,81.32,Debit Card,02-01-2023,Metropol AVM
I199848,C177209,Female,54,Clothing,5,1500.4,Credit Card,02-01-2023,Istinye Park
I262456,C145754,Male,61,Clothing,2,600.16,Cash,02-01-2023,Mall of Istanbul
I104568,C918064,Male,27,Toys,4,143.36,Debit Card,02-01-2023,Metropol AVM
I309095,C109937,Female,38,Clothing,2,600.16,Cash,02-01-2023,Metropol AVM
I105921,C311055,Female,63,Clothing,4,1200.32,Credit Card,02-01-2023,Metropol AVM
I292970,C275777,Male,19,Books,2,30.3,Debit Card,02-01-2023,Istinye Park
I462602,C331106,Female,66,Souvenir,2,23.46,Debit Card,02-01-2023,Istinye Park
I543808,C311377,Female,49,Clothing,1,300.08,Cash,02-01-2023,Viaport Outlet
I525522,C253949,Male,45,Toys,5,179.2,Cash,02-01-2023,Kanyon
I261870,C199888,Female,69,Clothing,5,1500.4,Debit Card,02-01-2023,Kanyon
I183812,C228535,Male,26,Shoes,3,1800.51,Credit Card,02-01-2023,Mall of Istanbul
I339109,C311906,Male,63,Toys,4,143.36,Credit Card,02-01-2023,Zorlu Center
I557155,C106644,Female,37,Food & Beverage,1,5.23,Debit Card,02-01-2023,Metrocity
I323202,C156078,Female,61,Food & Beverage,3,15.69,Cash,02-01-2023,Mall of Istanbul
I233389,C177930,Female,41,Souvenir,3,35.19,Cash,02-01-2023,Metropol AVM
I339759,C313031,Female,28,Toys,4,143.36,Debit Card,02-01-2023,Cevahir AVM
I260627,C229644,Female,22,Cosmetics,5,203.3,Cash,02-01-2023,Metropol AVM
I309853,C336701,Male,66,Cosmetics,2,81.32,Credit Card,02-01-2023,Forum Istanbul
I704228,C190591,Male,20,Toys,4,143.36,Credit Card,02-01-2023,Istinye Park
I202406,C126656,Female,54,Food & Beverage,4,20.92,Credit Card,02-01-2023,Cevahir AVM
I527291,C618317,Female,39,Food & Beverage,1,5.23,Credit Card,02-01-2023,Viaport Outlet
I307310,C320793,Male,28,Toys,4,143.36,Credit Card,02-01-2023,Metrocity
I172551,C295684,Female,51,Clothing,1,300.08,Credit Card,02-01-2023,Istinye Park
I786021,C319980,Female,61,Shoes,4,2400.68,Cash,02-01-2023,Metropol AVM
I195485,C817948,Male,20,Food & Beverage,2,10.46,Credit Card,02-01-2023,Zorlu Center
I111586,C228173,Male,57,Cosmetics,3,121.98,Cash,02-01-2023,Mall of Istanbul
I163755,C655751,Male,25,Clothing,1,300.08,Cash,02-01-2023,Mall of Istanbul
I502355,C234503,Female,33,Food & Beverage,4,20.92,Credit Card,02-01-2023,Mall of Istanbul
I280203,C133351,Female,57,Shoes,2,1200.34,Cash,02-01-2023,Metrocity
I328743,C193332,Female,19,Technology,3,3150,Credit Card,02-01-2023,Zorlu Center
I281393,C173763,Female,64,Food & Beverage,3,15.69,Credit Card,02-01-2023,Metropol AVM
I175506,C321360,Male,55,Clothing,5,1500.4,Debit Card,02-01-2023,Metropol AVM
I205702,C484660,Female,28,Souvenir,1,11.73,Credit Card,02-01-2023,Metrocity
I198352,C215237,Male,49,Toys,2,71.68,Credit Card,02-01-2023,Kanyon
I939180,C131652,Female,66,Clothing,3,900.24,Cash,02-01-2023,Emaar Square Mall
I208917,C270807,Female,52,Clothing,5,1500.4,Credit Card,02-01-2023,Forum Istanbul
I144342,C298842,Male,26,Shoes,2,1200.34,Cash,02-01-2023,Istinye Park
I559284,C240774,Male,24,Souvenir,5,58.65,Debit Card,02-01-2023,Forum Istanbul
I328202,C300094,Female,29,Shoes,5,3000.85,Cash,02-01-2023,Mall of Istanbul
I304164,C258488,Male,37,Food & Beverage,3,15.69,Credit Card,02-01-2023,Viaport Outlet
I983467,C230279,Female,19,Clothing,2,600.16,Credit Card,02-01-2023,Viaport Outlet
I130372,C291019,Female,58,Clothing,3,900.24,Cash,02-01-2023,Istinye Park
I121074,C279512,Female,49,Clothing,4,1200.32,Credit Card,02-01-2023,Mall of Istanbul
I321438,C235934,Female,46,Cosmetics,1,40.66,Credit Card,02-01-2023,Mall of Istanbul
I274758,C155580,Female,30,Technology,2,2100,Cash,02-01-2023,Istinye Park
I266459,C229004,Female,47,Food & Beverage,5,26.15,Cash,02-01-2023,Kanyon
I918337,C235293,Female,34,Books,2,30.3,Cash,02-01-2023,Metrocity
I173643,C166322,Female,44,Food & Beverage,4,20.92,Credit Card,02-01-2023,Zorlu Center
I189271,C288828,Male,67,Books,2,30.3,Credit Card,02-01-2023,Metrocity
I538014,C161187,Male,56,Clothing,2,600.16,Cash,02-01-2023,Zorlu Center
I981213,C267372,Male,29,Shoes,2,1200.34,Credit Card,02-01-2023,Mall of Istanbul
I238400,C144426,Male,34,Clothing,5,1500.4,Cash,02-01-2023,Kanyon
I286367,C589579,Male,35,Technology,3,3150,Cash,02-01-2023,Kanyon
I273796,C920810,Female,57,Cosmetics,5,203.3,Debit Card,02-01-2023,Kanyon
I167289,C211209,Male,27,Clothing,2,600.16,Credit Card,02-01-2023,Mall of Istanbul
I277931,C241532,Male,35,Cosmetics,2,81.32,Credit Card,02-01-2023,Forum Istanbul
I112969,C110867,Male,66,Clothing,4,1200.32,Credit Card,02-01-2023,Mall of Istanbul
I279475,C247110,Male,34,Food & Beverage,4,20.92,Cash,02-01-2023,Kanyon
I185648,C302085,Female,30,Books,2,30.3,Debit Card,02-01-2023,Mall of Istanbul
I212036,C137223,Male,41,Clothing,4,1200.32,Credit Card,02-01-2023,Viaport Outlet
I267139,C182035,Male,50,Cosmetics,4,162.64,Cash,02-01-2023,Istinye Park
I825735,C109331,Female,27,Cosmetics,2,81.32,Debit Card,02-01-2023,Metrocity
I260516,C535699,Male,27,Cosmetics,4,162.64,Cash,02-01-2023,Cevahir AVM
I297467,C774456,Male,50,Shoes,2,1200.34,Cash,02-01-2023,Kanyon
I213037,C187387,Male,68,Toys,3,107.52,Cash,02-01-2023,Kanyon
I944044,C330295,Female,25,Toys,4,143.36,Credit Card,02-01-2023,Istinye Park
I324135,C295545,Female,64,Clothing,3,900.24,Credit Card,03-01-2023,Mall of Istanbul
I300117,C968038,Female,60,Clothing,3,900.24,Debit Card,03-01-2023,Metrocity
I245998,C319815,Male,28,Food & Beverage,4,20.92,Cash,03-01-2023,Viaport Outlet
I108780,C225218,Female,35,Technology,1,1050,Cash,03-01-2023,Kanyon
I391615,C219598,Male,67,Shoes,3,1800.51,Credit Card,03-01-2023,Viaport Outlet
I181438,C141291,Male,48,Food & Beverage,4,20.92,Debit Card,03-01-2023,Metrocity
I245370,C336474,Female,23,Cosmetics,4,162.64,Credit Card,03-01-2023,Viaport Outlet
I110804,C105807,Male,26,Toys,3,107.52,Debit Card,03-01-2023,Zorlu Center
I167513,C316886,Male,58,Cosmetics,4,162.64,Credit Card,03-01-2023,Metrocity
I143609,C965330,Female,22,Food & Beverage,3,15.69,Cash,03-01-2023,Istinye Park
I211458,C222698,Female,58,Clothing,5,1500.4,Credit Card,03-01-2023,Viaport Outlet
I237114,C574013,Female,59,Cosmetics,3,121.98,Cash,03-01-2023,Istinye Park
I273749,C202413,Male,54,Clothing,1,300.08,Credit Card,03-01-2023,Metrocity
I261372,C225054,Male,59,Food & Beverage,5,26.15,Credit Card,03-01-2023,Viaport Outlet
I414220,C321091,Female,54,Clothing,1,300.08,Debit Card,03-01-2023,Kanyon
I240172,C898240,Male,47,Clothing,5,1500.4,Cash,03-01-2023,Metropol AVM
I264747,C184553,Male,27,Shoes,3,1800.51,Cash,03-01-2023,Istinye Park
I165582,C224955,Male,60,Cosmetics,5,203.3,Debit Card,03-01-2023,Mall of Istanbul
I295796,C503929,Male,26,Toys,2,71.68,Cash,03-01-2023,Mall of Istanbul
I275167,C228537,Female,39,Clothing,3,900.24,Cash,03-01-2023,Forum Istanbul
I133832,C599435,Male,25,Food & Beverage,3,15.69,Debit Card,03-01-2023,Viaport Outlet
I330751,C268825,Male,63,Clothing,1,300.08,Credit Card,03-01-2023,Zorlu Center
I272695,C225630,Female,39,Cosmetics,1,40.66,Cash,03-01-2023,Metrocity
I337251,C309412,Female,45,Technology,5,5250,Cash,03-01-2023,Kanyon
I172829,C190913,Male,47,Souvenir,2,23.46,Cash,03-01-2023,Mall of Istanbul
I126965,C826311,Female,26,Toys,2,71.68,Cash,03-01-2023,Forum Istanbul
I332180,C270173,Female,38,Clothing,3,900.24,Credit Card,03-01-2023,Zorlu Center
I284240,C126031,Female,62,Clothing,5,1500.4,Debit Card,03-01-2023,Metropol AVM
I163615,C314192,Female,25,Food & Beverage,1,5.23,Credit Card,03-01-2023,Emaar Square Mall
I190025,C263312,Female,23,Clothing,2,600.16,Credit Card,03-01-2023,Mall of Istanbul
I166420,C296916,Female,52,Cosmetics,1,40.66,Cash,03-01-2023,Forum Istanbul
I244407,C342697,Female,35,Clothing,3,900.24,Debit Card,03-01-2023,Cevahir AVM
I634904,C400930,Male,53,Books,4,60.6,Debit Card,03-01-2023,Kanyon
I194850,C214184,Female,63,Clothing,2,600.16,Cash,03-01-2023,Metrocity
I599361,C337740,Female,52,Books,1,15.15,Cash,03-01-2023,Mall of Istanbul
I216906,C132040,Female,64,Shoes,5,3000.85,Cash,03-01-2023,Mall of Istanbul
I656515,C677721,Male,25,Souvenir,1,11.73,Cash,03-01-2023,Forum Istanbul
