customer_id,invoice_date,Recency,Frequency,AOV,LVT,Predicted_LTV
C103221,2023-02-21,15,1,1800.51,1800.51,1800.5100000000011
C103227,2023-01-31,36,1,203.3,203.3,203.29999999999976
C103229,2023-01-01,66,1,1500.4,1500.4,1500.4000000000053
C103251,2023-02-11,25,1,35.84,35.84,35.84000000000007
C103263,2023-01-19,48,1,15.15,15.15,15.150000000000018
C103297,2023-01-29,38,1,1500.4,1500.4,1500.4000000000053
C103314,2023-02-17,19,1,30.3,30.3,30.300000000000036
C103328,2023-01-08,59,1,3000.85,3000.85,3000.85
C103333,2023-01-29,38,1,900.24,900.24,900.2399999999983
C103393,2023-01-21,46,1,81.32,81.32,81.31999999999978
C103479,2023-02-27,9,1,26.15,26.15,26.15000000000005
C103546,2023-02-06,30,1,900.24,900.24,900.2399999999983
C103597,2023-01-14,53,1,26.15,26.15,26.15000000000005
C103598,2023-01-12,55,1,1200.34,1200.34,1200.3399999999967
C103632,2023-01-01,66,1,58.65,58.65,58.649999999999935
C103647,2023-01-04,63,1,1500.4,1500.4,1500.4000000000053
C103651,2023-01-19,48,1,1050.0,1050.0,1050.0
C103671,2023-02-13,23,1,2400.68,2400.68,2400.6799999999944
C103725,2023-01-29,38,1,20.92,20.92,20.92000000000006
C103730,2023-01-13,54,1,20.92,20.92,20.92000000000006
C103773,2023-02-19,17,1,143.36,143.36,143.36000000000024
C103887,2023-02-08,28,1,121.98,121.98,121.9799999999996
C103894,2023-02-23,13,1,203.3,203.3,203.29999999999976
C103900,2023-02-15,21,1,121.98,121.98,121.9799999999996
C103910,2023-02-27,9,1,2400.68,2400.68,2400.6799999999944
C103917,2023-02-07,29,1,3000.85,3000.85,3000.85
C103933,2023-01-10,57,1,3150.0,3150.0,3150.0
C104013,2023-01-02,65,1,46.92,46.92,46.92000000000005
C104036,2023-02-24,12,1,1200.32,1200.32,1200.3200000000056
C104086,2023-02-21,15,1,75.75,75.75,75.75
C104119,2023-01-24,43,1,203.3,203.3,203.29999999999976
C104123,2023-01-19,48,1,81.32,81.32,81.31999999999978
C104268,2023-03-04,4,1,300.08,300.08,300.0800000000012
C104317,2023-02-07,29,1,1200.32,1200.32,1200.3200000000056
C104363,2023-02-09,27,1,58.65,58.65,58.649999999999935
C104404,2023-01-17,50,1,1200.34,1200.34,1200.3399999999967
C104407,2023-02-07,29,1,2100.0,2100.0,2100.0
C104433,2023-02-01,35,1,46.92,46.92,46.92000000000005
C104578,2023-03-03,5,1,600.16,600.16,600.1600000000018
C104592,2023-01-02,65,1,600.17,600.17,600.1699999999985
C104616,2023-01-09,58,1,71.68,71.68,71.68000000000012
C104687,2023-01-25,42,1,81.32,81.32,81.31999999999978
C104725,2023-01-20,47,1,81.32,81.32,81.31999999999978
C104799,2023-02-18,18,1,45.45,45.45,45.44999999999991
C104852,2023-03-07,1,1,203.3,203.3,203.29999999999976
C104877,2023-01-15,52,1,2100.0,2100.0,2100.0
C104905,2023-03-03,5,1,5.23,5.23,5.230000000000015
C104942,2023-02-17,19,1,1200.34,1200.34,1200.3399999999967
C104949,2023-01-28,39,1,1200.32,1200.32,1200.3200000000056
C105039,2023-02-17,19,1,1200.34,1200.34,1200.3399999999967
C105101,2023-01-10,57,1,1500.4,1500.4,1500.4000000000053
C105149,2023-01-03,64,1,1200.32,1200.32,1200.3200000000056
C105215,2023-01-16,51,1,40.66,40.66,40.65999999999988
C105220,2023-01-11,56,1,1500.4,1500.4,1500.4000000000053
C105300,2023-01-24,43,1,162.64,162.64,162.63999999999956
C105405,2023-01-08,59,1,121.98,121.98,121.9799999999996
C105433,2023-03-04,4,1,1800.51,1800.51,1800.5100000000011
C105467,2023-01-16,51,1,26.15,26.15,26.15000000000005
C105474,2023-01-15,52,1,40.66,40.66,40.65999999999988
C105510,2023-02-15,21,1,203.3,203.3,203.29999999999976
C105522,2023-02-28,8,1,40.66,40.66,40.6599999999999
C105529,2023-02-12,24,1,46.92,46.92,46.92000000000005
C105607,2023-02-10,26,1,600.16,600.16,600.160000000002
C105620,2023-02-13,23,1,2100.0,2100.0,2100.0
C105655,2023-01-28,39,1,600.16,600.16,600.160000000002
C105733,2023-01-10,57,1,203.3,203.3,203.29999999999976
C105747,2023-02-22,14,1,40.66,40.66,40.65999999999989
C105764,2023-02-16,20,1,23.46,23.46,23.460000000000033
C105807,2023-01-03,64,1,107.52,107.52,107.52000000000031
C105812,2023-03-01,7,1,600.16,600.16,600.1600000000018
C105824,2023-02-20,16,1,1200.34,1200.34,1200.3399999999967
C105826,2023-02-01,35,1,1200.32,1200.32,1200.3200000000056
C105838,2023-03-03,5,1,26.15,26.15,26.15000000000005
C105847,2023-02-12,24,1,600.16,600.16,600.160000000002
C105882,2023-02-16,20,1,35.19,35.19,35.19000000000005
C105983,2023-03-04,4,1,179.2,179.2,179.2000000000004
C106052,2023-02-10,26,1,1500.4,1500.4,1500.4000000000053
C106062,2023-03-06,2,1,300.08,300.08,300.080000000001
C106094,2023-02-13,23,1,1500.4,1500.4,1500.4000000000053
C106117,2023-02-22,14,1,5250.0,5250.0,5250.0
C106130,2023-03-06,2,1,1500.4,1500.4,1500.4000000000024
C106279,2023-01-23,44,1,600.16,600.16,600.160000000002
C106324,2023-01-15,52,1,300.08,300.08,300.0800000000013
C106337,2023-02-02,34,1,5.23,5.23,5.230000000000015
C106461,2023-01-17,50,1,900.24,900.24,900.2399999999983
C106518,2023-03-08,0,1,4200.0,4200.0,4200.0
C106531,2023-02-27,9,1,179.2,179.2,179.2000000000004
C106546,2023-03-08,0,1,1200.32,1200.32,1200.3200000000052
C106552,2023-03-04,4,1,1500.4,1500.4,1500.4000000000033
C106644,2023-01-02,65,1,5.23,5.23,5.230000000000015
C106686,2023-02-12,24,1,2400.68,2400.68,2400.6799999999944
C106762,2023-01-07,60,1,2400.68,2400.68,2400.6799999999944
C106784,2023-01-04,63,1,71.68,71.68,71.68000000000012
C106802,2023-02-28,8,1,1200.32,1200.32,1200.3200000000056
C106834,2023-02-11,25,1,1500.4,1500.4,1500.4000000000053
C107056,2023-02-20,16,1,35.84,35.84,35.84000000000007
C107171,2023-01-29,38,1,1200.34,1200.34,1200.3399999999967
C107192,2023-02-25,11,1,81.32,81.32,81.31999999999982
C107207,2023-02-28,8,1,35.19,35.19,35.19000000000005
C107209,2023-02-05,31,1,5.23,5.23,5.230000000000015
C107235,2023-02-08,28,1,81.32,81.32,81.31999999999978
C107256,2023-02-26,10,1,1500.4,1500.4,1500.4000000000044
C107261,2023-02-13,23,1,203.3,203.3,203.29999999999976
C107263,2023-02-18,18,1,1050.0,1050.0,1050.0
C107267,2023-01-15,52,1,300.08,300.08,300.0800000000013
C107289,2023-01-05,62,1,35.84,35.84,35.84000000000007
C107312,2023-01-13,54,1,900.24,900.24,900.2399999999983
C107358,2023-02-07,29,1,46.92,46.92,46.92000000000005
C107400,2023-02-09,27,1,23.46,23.46,23.460000000000033
C107444,2023-02-25,11,1,5250.0,5250.0,5250.0
C107458,2023-01-28,39,1,20.92,20.92,20.92000000000006
C107540,2023-01-21,46,1,10.46,10.46,10.46000000000003
C107549,2023-02-06,30,1,1200.32,1200.32,1200.3200000000056
C107596,2023-02-24,12,1,300.08,300.08,300.0800000000013
C107703,2023-02-28,8,1,1500.4,1500.4,1500.4000000000042
C107718,2023-01-25,42,1,2100.0,2100.0,2100.0
C107807,2023-02-07,29,1,10.46,10.46,10.46000000000003
C107832,2023-02-24,12,1,600.17,600.17,600.1699999999985
C107885,2023-02-19,17,1,15.69,15.69,15.69000000000005
C107934,2023-01-13,54,1,1500.4,1500.4,1500.4000000000053
C107987,2023-02-25,11,1,20.92,20.92,20.92000000000006
C107989,2023-02-07,29,1,600.16,600.16,600.160000000002
C108013,2023-02-06,30,1,121.98,121.98,121.9799999999996
C108064,2023-01-09,58,1,203.3,203.3,203.29999999999976
C108070,2023-02-20,16,1,1800.51,1800.51,1800.5100000000011
C108141,2023-03-08,0,1,5.23,5.23,5.230000000000015
C108143,2023-02-28,8,1,2400.68,2400.68,2400.6799999999944
C108176,2023-02-04,32,1,71.68,71.68,71.68000000000012
C108243,2023-02-08,28,1,1500.4,1500.4,1500.4000000000053
C108249,2023-02-02,34,1,300.08,300.08,300.0800000000013
C108253,2023-02-19,17,1,600.17,600.17,600.1699999999985
C108256,2023-02-19,17,1,900.24,900.24,900.2399999999984
C108351,2023-02-10,26,1,300.08,300.08,300.0800000000013
C108431,2023-03-03,5,1,300.08,300.08,300.0800000000012
C108441,2023-01-27,40,1,162.64,162.64,162.63999999999956
C108444,2023-01-21,46,1,5.23,5.23,5.230000000000015
C108493,2023-02-08,28,1,26.15,26.15,26.15000000000005
C108581,2023-03-02,6,1,1500.4,1500.4,1500.4000000000035
C108591,2023-01-21,46,1,300.08,300.08,300.0800000000013
C108643,2023-01-21,46,1,40.66,40.66,40.65999999999988
C108644,2023-01-08,59,1,11.73,11.73,11.730000000000016
C108645,2023-02-26,10,1,203.3,203.3,203.29999999999976
C108727,2023-02-12,24,1,20.92,20.92,20.92000000000006
C108756,2023-01-27,40,1,121.98,121.98,121.9799999999996
C108763,2023-02-07,29,1,203.3,203.3,203.29999999999976
C108801,2023-01-12,55,1,1200.32,1200.32,1200.3200000000056
C108808,2023-01-16,51,1,35.84,35.84,35.84000000000007
C108964,2023-02-11,25,1,2400.68,2400.68,2400.6799999999944
C108981,2023-02-21,15,1,2400.68,2400.68,2400.6799999999944
C109079,2023-02-19,17,1,600.17,600.17,600.1699999999985
C109116,2023-01-06,61,1,1200.34,1200.34,1200.3399999999967
C109179,2023-02-28,8,1,81.32,81.32,81.31999999999984
C109182,2023-02-18,18,1,179.2,179.2,179.2000000000004
C109187,2023-01-05,62,1,900.24,900.24,900.2399999999983
C109210,2023-02-14,22,1,121.98,121.98,121.9799999999996
C109264,2023-02-14,22,1,900.24,900.24,900.2399999999983
C109276,2023-01-29,38,1,20.92,20.92,20.92000000000006
C109293,2023-02-15,21,1,1200.32,1200.32,1200.3200000000056
C109294,2023-02-25,11,1,40.66,40.66,40.65999999999989
C109317,2023-02-13,23,1,1200.32,1200.32,1200.3200000000056
C109323,2023-02-20,16,1,40.66,40.66,40.65999999999989
C109331,2023-01-02,65,1,81.32,81.32,81.31999999999978
C109354,2023-02-20,16,1,600.16,600.16,600.160000000002
C109370,2023-01-26,41,1,26.15,26.15,26.15000000000005
C109398,2023-02-01,35,1,30.3,30.3,30.300000000000036
C109409,2023-01-09,58,1,600.16,600.16,600.160000000002
C109467,2023-02-09,27,1,5.23,5.23,5.230000000000015
C109489,2023-01-17,50,1,15.69,15.69,15.69000000000005
C109593,2023-01-07,60,1,300.08,300.08,300.0800000000013
C109594,2023-01-05,62,1,60.6,60.6,60.60000000000007
C109622,2023-02-09,27,1,179.2,179.2,179.2000000000004
C109682,2023-02-11,25,1,600.16,600.16,600.160000000002
C109714,2023-01-03,64,1,20.92,20.92,20.92000000000006
C109749,2023-01-21,46,1,23.46,23.46,23.460000000000033
C109762,2023-01-31,36,1,143.36,143.36,143.36000000000024
C109766,2023-02-22,14,1,2400.68,2400.68,2400.6799999999944
C109876,2023-02-22,14,1,600.16,600.16,600.160000000002
C109924,2023-01-28,39,1,121.98,121.98,121.9799999999996
C109937,2023-01-02,65,1,600.16,600.16,600.160000000002
C109970,2023-01-15,52,1,26.15,26.15,26.15000000000005
C110014,2023-01-24,43,1,162.64,162.64,162.63999999999956
C110082,2023-01-25,42,1,81.32,81.32,81.31999999999978
C110113,2023-01-05,62,1,30.3,30.3,30.300000000000036
C110183,2023-03-06,2,1,300.08,300.08,300.080000000001
C110189,2023-02-03,33,1,11.73,11.73,11.730000000000016
C110238,2023-02-24,12,1,107.52,107.52,107.52000000000031
C110260,2023-03-07,1,1,15.69,15.69,15.69000000000005
C110306,2023-01-10,57,1,2400.68,2400.68,2400.6799999999944
C110364,2023-02-13,23,1,1500.4,1500.4,1500.4000000000053
C110379,2023-01-28,39,1,35.84,35.84,35.84000000000007
C110389,2023-01-01,66,1,1800.51,1800.51,1800.5100000000011
C110465,2023-01-23,44,1,203.3,203.3,203.29999999999976
C110476,2023-03-04,4,1,20.92,20.92,20.92000000000006
C110489,2023-02-12,24,1,600.16,600.16,600.160000000002
C110496,2023-03-05,3,1,15.69,15.69,15.69000000000005
C110505,2023-01-22,45,1,10.46,10.46,10.46000000000003
C110520,2023-03-02,6,1,1500.4,1500.4,1500.4000000000035
C110545,2023-03-04,4,1,121.98,121.98,121.97999999999962
C110578,2023-03-03,5,1,35.84,35.84,35.84000000000007
C110615,2023-01-05,62,1,1200.34,1200.34,1200.3399999999967
C110626,2023-02-09,27,1,162.64,162.64,162.6399999999996
C110661,2023-02-13,23,1,300.08,300.08,300.0800000000013
C110697,2023-01-09,58,1,35.84,35.84,35.84000000000007
C110795,2023-02-11,25,1,40.66,40.66,40.65999999999988
C110867,2023-01-02,65,1,1200.32,1200.32,1200.3200000000056
C110913,2023-01-19,48,1,26.15,26.15,26.15000000000005
C110921,2023-02-01,35,1,900.24,900.24,900.2399999999983
C110955,2023-01-20,47,1,1500.4,1500.4,1500.4000000000053
C110969,2023-02-12,24,1,40.66,40.66,40.65999999999988
C110985,2023-03-06,2,1,162.64,162.64,162.63999999999965
C111079,2023-02-09,27,1,1500.4,1500.4,1500.4000000000053
C111113,2023-01-01,66,1,4200.0,4200.0,4200.0
C111140,2023-02-04,32,1,143.36,143.36,143.36000000000024
C111167,2023-03-05,3,1,107.52,107.52,107.52000000000031
C111176,2023-02-03,33,1,81.32,81.32,81.31999999999978
C111198,2023-01-23,44,1,3150.0,3150.0,3150.0
C111211,2023-02-14,22,1,1200.32,1200.32,1200.3200000000056
C111223,2023-02-11,25,1,600.16,600.16,600.160000000002
C111227,2023-02-28,8,1,1500.4,1500.4,1500.4000000000042
C111257,2023-01-24,43,1,20.92,20.92,20.92000000000006
C111267,2023-01-24,43,1,1800.51,1800.51,1800.5100000000011
C111275,2023-01-30,37,1,1500.4,1500.4,1500.4000000000053
C111315,2023-01-25,42,1,5.23,5.23,5.230000000000015
C111346,2023-02-26,10,1,203.3,203.3,203.29999999999976
C111351,2023-02-26,10,1,300.08,300.08,300.0800000000013
C111359,2023-02-12,24,1,5.23,5.23,5.230000000000015
C111399,2023-02-15,21,1,40.66,40.66,40.65999999999988
C111453,2023-02-17,19,1,162.64,162.64,162.6399999999996
C111463,2023-02-08,28,1,900.24,900.24,900.2399999999983
C111500,2023-02-06,30,1,1200.34,1200.34,1200.3399999999967
C111545,2023-01-14,53,1,179.2,179.2,179.2000000000004
C111564,2023-02-03,33,1,26.15,26.15,26.15000000000005
C111568,2023-02-20,16,1,15.15,15.15,15.150000000000018
C111586,2023-01-16,51,1,121.98,121.98,121.9799999999996
C111588,2023-01-29,38,1,1050.0,1050.0,1050.0
C111628,2023-02-12,24,1,23.46,23.46,23.460000000000033
C111703,2023-02-21,15,1,26.15,26.15,26.15000000000005
C111765,2023-01-10,57,1,1500.4,1500.4,1500.4000000000053
C111818,2023-02-22,14,1,20.92,20.92,20.92000000000006
C111845,2023-01-22,45,1,300.08,300.08,300.0800000000013
C111857,2023-01-08,59,1,35.19,35.19,35.19000000000005
C111961,2023-03-03,5,1,1500.4,1500.4,1500.4000000000033
C111986,2023-02-19,17,1,5250.0,5250.0,5250.0
C112032,2023-01-31,36,1,20.92,20.92,20.92000000000006
C112115,2023-02-21,15,1,2100.0,2100.0,2100.0
C112119,2023-02-02,34,1,1200.32,1200.32,1200.3200000000056
C112229,2023-01-10,57,1,1200.34,1200.34,1200.3399999999967
C112246,2023-03-04,4,1,1200.32,1200.32,1200.3200000000056
C112298,2023-01-29,38,1,1500.4,1500.4,1500.4000000000053
C112308,2023-03-05,3,1,35.19,35.19,35.19000000000005
C112319,2023-02-04,32,1,1500.4,1500.4,1500.4000000000053
C112432,2023-02-04,32,1,71.68,71.68,71.68000000000012
C112439,2023-02-15,21,1,1200.32,1200.32,1200.3200000000056
C112549,2023-02-04,32,1,58.65,58.65,58.649999999999935
C112572,2023-03-03,5,1,20.92,20.92,20.92000000000006
C112573,2023-02-23,13,1,107.52,107.52,107.52000000000031
C112629,2023-03-01,7,1,1500.4,1500.4,1500.4000000000037
C112660,2023-03-04,4,1,900.24,900.24,900.2399999999986
C112750,2023-01-15,52,1,300.08,300.08,300.0800000000013
C112758,2023-01-31,36,1,1200.34,1200.34,1200.3399999999967
C112790,2023-01-19,48,1,60.6,60.6,60.60000000000007
C112794,2023-03-04,4,1,4200.0,4200.0,4200.0
C112822,2023-01-23,44,1,81.32,81.32,81.31999999999978
C112823,2023-02-25,11,1,900.24,900.24,900.2399999999985
C112830,2023-01-30,37,1,203.3,203.3,203.29999999999976
C112831,2023-01-21,46,1,3000.85,3000.85,3000.85
C112863,2023-01-18,49,1,35.84,35.84,35.84000000000007
C112869,2023-01-20,47,1,121.98,121.98,121.9799999999996
C112889,2023-02-12,24,1,5.23,5.23,5.230000000000015
C112979,2023-02-13,23,1,300.08,300.08,300.0800000000013
C113014,2023-01-06,61,1,75.75,75.75,75.75
C113051,2023-02-19,17,1,1200.32,1200.32,1200.3200000000056
C113065,2023-02-03,33,1,300.08,300.08,300.0800000000013
C113088,2023-01-27,40,1,162.64,162.64,162.63999999999956
C113105,2023-01-22,45,1,20.92,20.92,20.92000000000006
C113171,2023-03-06,2,1,600.17,600.17,600.1699999999985
C113204,2023-01-12,55,1,1200.32,1200.32,1200.3200000000056
C113216,2023-02-12,24,1,35.84,35.84,35.84000000000007
C113275,2023-02-21,15,1,35.84,35.84,35.84000000000007
C113294,2023-01-20,47,1,11.73,11.73,11.730000000000016
C113403,2023-03-05,3,1,40.66,40.66,40.65999999999992
C113435,2023-01-09,58,1,300.08,300.08,300.0800000000013
C113468,2023-03-08,0,1,26.15,26.15,26.15000000000005
C113472,2023-01-21,46,1,15.69,15.69,15.69000000000005
C113518,2023-01-19,48,1,5.23,5.23,5.230000000000015
C113670,2023-02-05,31,1,1200.32,1200.32,1200.3200000000056
C113678,2023-01-09,58,1,900.24,900.24,900.2399999999983
C113695,2023-01-17,50,1,10.46,10.46,10.46000000000003
C113739,2023-01-18,49,1,1200.32,1200.32,1200.3200000000056
C113748,2023-03-04,4,1,1500.4,1500.4,1500.4000000000033
C113761,2023-02-04,32,1,300.08,300.08,300.0800000000013
C113778,2023-03-07,1,1,900.24,900.24,900.2399999999996
C113803,2023-03-03,5,1,107.52,107.52,107.52000000000031
C113901,2023-01-15,52,1,5.23,5.23,5.230000000000015
C113948,2023-02-23,13,1,900.24,900.24,900.2399999999985
C113970,2023-02-14,22,1,121.98,121.98,121.9799999999996
C114014,2023-01-08,59,1,1200.32,1200.32,1200.3200000000056
C114023,2023-02-22,14,1,23.46,23.46,23.460000000000033
C114072,2023-02-16,20,1,300.08,300.08,300.0800000000013
C114112,2023-01-06,61,1,900.24,900.24,900.2399999999983
C114116,2023-03-06,2,1,1500.4,1500.4,1500.4000000000024
C114246,2023-03-04,4,1,26.15,26.15,26.15000000000005
C114354,2023-03-01,7,1,3150.0,3150.0,3150.0
C114377,2023-02-01,35,1,20.92,20.92,20.92000000000006
C114440,2023-01-12,55,1,26.15,26.15,26.15000000000005
C114531,2023-01-14,53,1,162.64,162.64,162.63999999999956
C114587,2023-01-16,51,1,15.69,15.69,15.69000000000005
C114606,2023-01-04,63,1,600.17,600.17,600.1699999999985
C114628,2023-01-07,60,1,1500.4,1500.4,1500.4000000000053
C114634,2023-02-04,32,1,30.3,30.3,30.300000000000036
C114643,2023-03-04,4,1,121.98,121.98,121.97999999999962
C114650,2023-01-03,64,1,1200.32,1200.32,1200.3200000000056
C114698,2023-02-26,10,1,2400.68,2400.68,2400.6799999999944
C114819,2023-01-08,59,1,300.08,300.08,300.0800000000013
C114861,2023-02-16,20,1,300.08,300.08,300.0800000000013
C114903,2023-02-09,27,1,15.69,15.69,15.69000000000005
C114922,2023-01-30,37,1,300.08,300.08,300.0800000000013
C114935,2023-01-01,66,1,1200.32,1200.32,1200.3200000000056
C114955,2023-01-17,50,1,1200.34,1200.34,1200.3399999999967
C114977,2023-02-23,13,1,143.36,143.36,143.36000000000024
C115001,2023-02-20,16,1,121.98,121.98,121.9799999999996
C115031,2023-02-07,29,1,71.68,71.68,71.68000000000012
C115078,2023-02-17,19,1,600.17,600.17,600.1699999999985
C115087,2023-03-08,0,1,1800.51,1800.51,1800.5100000000011
C115176,2023-01-15,52,1,5250.0,5250.0,5250.0
C115193,2023-02-18,18,1,179.2,179.2,179.2000000000004
C115229,2023-01-27,40,1,23.46,23.46,23.460000000000033
C115329,2023-03-02,6,1,26.15,26.15,26.15000000000005
C115331,2023-01-10,57,1,23.46,23.46,23.460000000000033
C115389,2023-01-14,53,1,900.24,900.24,900.2399999999983
C115442,2023-02-01,35,1,40.66,40.66,40.65999999999988
C115445,2023-02-14,22,1,143.36,143.36,143.36000000000024
C115590,2023-01-09,58,1,600.16,600.16,600.160000000002
C115666,2023-02-21,15,1,900.24,900.24,900.2399999999985
C115699,2023-03-06,2,1,10.46,10.46,10.46000000000003
C115704,2023-01-25,42,1,1200.32,1200.32,1200.3200000000056
C115757,2023-03-06,2,1,5.23,5.23,5.230000000000015
C115811,2023-02-22,14,1,81.32,81.32,81.31999999999982
C115898,2023-02-12,24,1,1200.34,1200.34,1200.3399999999967
C115912,2023-01-31,36,1,600.16,600.16,600.160000000002
C115918,2023-02-08,28,1,81.32,81.32,81.31999999999978
C115960,2023-01-21,46,1,162.64,162.64,162.63999999999956
C115986,2023-01-10,57,1,162.64,162.64,162.63999999999956
C116005,2023-01-03,64,1,1200.32,1200.32,1200.3200000000056
C116013,2023-02-08,28,1,900.24,900.24,900.2399999999983
C116015,2023-01-16,51,1,30.3,30.3,30.300000000000036
C116029,2023-02-07,29,1,1200.32,1200.32,1200.3200000000056
C116041,2023-02-19,17,1,600.16,600.16,600.160000000002
C116228,2023-01-05,62,1,900.24,900.24,900.2399999999983
C116303,2023-01-17,50,1,75.75,75.75,75.75
C116335,2023-02-03,33,1,1050.0,1050.0,1050.0
C116364,2023-02-15,21,1,300.08,300.08,300.0800000000013
C116368,2023-01-29,38,1,600.16,600.16,600.160000000002
C116397,2023-03-02,6,1,2100.0,2100.0,2100.0
C116415,2023-02-06,30,1,300.08,300.08,300.0800000000013
C116429,2023-02-07,29,1,35.84,35.84,35.84000000000007
C116457,2023-01-09,58,1,1500.4,1500.4,1500.4000000000053
C116497,2023-02-14,22,1,203.3,203.3,203.29999999999976
C116505,2023-03-04,4,1,1200.34,1200.34,1200.3399999999967
